yearID,,W,L,Win%,Quartile,IPouts,R,H,2B,3B,HR,BB,SO,SB,RA,SHO,SV,HA,HRA,BBA,SOA,E,DP,FP,ERA,WHIP
1914,,80,71,0.529801325,2,4161,4.105960265,8.370860927,1.17218543,0.490066225,0.251655629,2.847682119,5.039735099,1.509933775,3.986754967,0.099337748,0.105960265,8.271523179,0.298013245,3.344370861,4.38410596,1.602649007,0.721854305,0.962,3.16,0.008374833
1914,,70,84,0.454545455,3,4194,3.162337662,7.824675325,1.045454545,0.461038961,0.123376623,2.649350649,3.954545455,1.084415584,3.636363636,0.11038961,0.071428571,7.837662338,0.097402597,2.603896104,4.285714286,1.87012987,0.584415584,0.957,2.48,0.007468926
1914,,87,67,0.564935065,1,4260,4.032467532,8.532467532,1.474025974,0.324675325,0.337662338,3.376623377,4.188311688,1.11038961,3.357142857,0.11038961,0.051948052,7.818181818,0.279220779,2.551948052,4.220779221,1.616883117,0.733766234,0.962,2.44,0.007302908
1914,,78,76,0.506493506,2,4167,3.928571429,7.980519481,1.292207792,0.480519481,0.272727273,3.253246753,3.746753247,1.064935065,4.142857143,0.090909091,0.071428571,7.590909091,0.24025974,3.428571429,4.227272727,2.012987013,0.564935065,0.951,2.71,0.007933391
1914,,60,94,0.38961039,4,4161,3.441558442,7.649350649,0.922077922,0.415584416,0.103896104,2.863636364,4.071428571,1.454545455,4.227272727,0.097402597,0.097402597,8.175324675,0.194805195,3.175324675,3.941558442,2.038961039,0.733766234,0.952,2.94,0.008183597
1914,,51,102,0.333333333,4,4173,3.516339869,8.248366013,1.163398693,0.45751634,0.065359477,2.941176471,4.477124183,1.091503268,4.633986928,0.058823529,0.019607843,8.921568627,0.065359477,4.352941176,4.496732026,1.947712418,0.777777778,0.954,3.21,0.009543141
1914,,80,73,0.522875817,2,4236,4.019607843,8.614379085,1.274509804,0.549019608,0.163398693,3.640522876,3.509803922,1.379084967,4.039215686,0.091503268,0.078431373,8.39869281,0.111111111,3.254901961,3.705882353,1.862745098,0.660130719,0.958,2.86,0.008253254
1914,,88,65,0.575163399,1,4191,4.980392157,9.633986928,1.503267974,0.588235294,0.215686275,3.071895425,4.189542484,1.784313725,4.065359477,0.098039216,0.058823529,8.836601307,0.189542484,3.111111111,4.339869281,1.797385621,0.738562092,0.957,3.06,0.008552407
1914,,67,84,0.443708609,4,4083,4.264900662,9.066225166,1.496688742,0.509933775,0.258278146,2.642384106,4.112582781,1.132450331,4.523178808,0.066225166,0.079470199,9.185430464,0.245033113,2.947019868,3.973509934,1.847682119,0.894039735,0.957,3.41,0.008914365
1914,,84,70,0.545454545,2,4170,4.363636364,8.850649351,1.441558442,0.383116883,0.194805195,2.902597403,3.11038961,1.551948052,3.74025974,0.12987013,0.058441558,8.428571429,0.305194805,2.383116883,3.655844156,1.642857143,0.772727273,0.961,2.94,0.007778193
1914,,70,84,0.454545455,3,4191,3.487012987,7.428571429,0.967532468,0.337662338,0.077922078,3.746753247,4.616883117,1.62987013,3.571428571,0.058441558,0.032467532,8.292207792,0.194805195,2.532467532,3.655844156,1.448051948,0.603896104,0.962,2.81,0.007748515
1914,,99,53,0.651315789,1,4212,4.927631579,9.157894737,1.085526316,0.526315789,0.190789474,3.585526316,3.401315789,1.519736842,3.480263158,0.157894737,0.111842105,8.315789474,0.118421053,3.427631579,4.736842105,1.401315789,0.763157895,0.966,2.78,0.00836426
